2013-14	2014-15	2015-16	2016-17	2017-18	2018-19	2019-20	2020-21	2021-22	2022-23
760	380	760	360	800	1000	600	580	600	400
400	760	800	1600	400	400	600	580	600	300
800	380	780	400	600	360	580	580	600	600
380	380	380	1200	800	600	380	580	600	600
400	760	800	400	600	1000	760	600	580	600
400	380	400	800	800	600	380	600	600	600
352	760	760	680	400	1200	400	800	600	400
280	360	380	400	600	600	580	1200	600	200
400	360	400	400	400	400	1200	580	600	1200
400	380	380	800	1200	600	300	580	600	400
160	600	380	400	800	360	600	600	600	600
360	760	380	400	1000	1200	800	580	600	600
400	760	600	800	1000	600	580	580	600	400
400	760	1140	400	420	600	600	580	600	600
440	380	400	800	440	1200	500	580	600	400
800	760	800	600	600	800	500	400	600	1200
400	380	800	800	800	800	400	600	600	800
320	360	380	400	400	600	1200	600	600	600
400	720	400	800	600	600	800	1200	600	800
400	760	380	800	800	1200	500	1200	600	600
400	760	800	800	800	600	580	1200	600	900
400	360	800	400	600	600	1200	600	580	159
800	300	1200	800	600	600	500	600	300	600
400	360	380	400	400	400	1200	580	580	500
400	560	400	400	600	1000	600	600	600	600
400	720	800	800	816	600	1200	1200	600	1200
400	360	360	1800	1200	1000	550	600	600	600
360	760	800	800	1200	500	580	1200	600	600
	380	760	500	800	800	960	580	600	800
	360	400	600	600	600	400	580	600	400
	380	1520	1200	1000	300	800	580	600	600
	760	400	800	800	200	1200	580	600	1200
	380	400	800	400	1000	1000	580	580	600
	340	800	300	600	1200	300	580	580	1160
	760	800	800	400	900	368	580	580	1200
	380	1200	400	1200	600	600	1160	400	1200
	760	400	400	600	600	800	780	600	800
	760	800	400	800	600	960	1160	600	600
	760	800	400	400	500	760	580	400	400
	380	400	400	400	1200	400	580	400	400
	760	400	400	1200	720	800	1160	600	600
	760		400	600	1200	580	1200	600	600
	760		1000	600	360	580	1200		1000
	760		800	600	800	600	1200		600
	760		400	900	400	600	760		240
	760		800	600	600	600	450		580
	580		400	1200	800	380	580		400
	760		800	800	360	580	600		400
	380		400	800	360	800	600		1200
	680		500		1200	800	600		1200
	1140		600		540	380	300		600
	360		600		440	400	1200		1200
	380		1600		1200	1180	600		200
	380		600		800	800	600		600
	1440		1200		400	1200	1160		1200
	1140		1600		720	580	580		600
	760				600	580	600		600
	380				600	200	600		600
	380				600	440	600		600
	760				400	600	580		600
	220					380	580		1344
	380					500	580		896
	1140					580	580		448
	360					580	1160		720
	760						580		1120
	380						550		896
	760						580		560
	360						1160		1200
	360						1200		800
	380						450		600
	380						600		400
	1140						1200		600
							800		600
							800		672
							380		672
							580		672
							1160		672
							580		600
							600		400
							1200		1200
							580		600
							1160		600
							580		600
							760		1200
							1100		672
							550		672
							600		1344
							750		
							600		
							580		
							760		
							580		
							580		
