2013-14	2014-15	2015-16	2016-17	2017-18	2018-19	2019-20	2020-21	2021-22	2022-23
800	760	1140	800	800	600	1200	580	1200	1200
800	380	680	800	600	600	760	580	580	600
480	380	380	400	800	800	200	500	600	600
400	760	1140	800	800	800	600	450	1200	600
400	1140	760	400	500	600	400	600	600	400
400	380	380	600	500	600	580	580	600	1000
800	380	380	400	800	1000	400	580	580	600
400	760	760	600	600	400	1200	380	900	1200
400	380	760	1200	660	600	500	580	580	1200
760	380	380	400	800	800	1000	580	400	600
720	760	760	600	1000	600	580	380	400	600
400	760	380	800	400	600	700	580	580	600
480	380	380	400	400	600	600	512	1000	400
400	760	760	800	800	600	800	600	580	570
760	380	380	400	920	800	580	600	1160	1200
400	380	1200	1200	400	500	600	512	1160	1200
400	760	760	400	500	1200	600	600	800	600
800	350	800	400	600	800	580	580	1160	400
360	760	400	400	400	600	600	600	580	800
400	760	760	1200	600	550	400	580	580	1200
400	760	380	400	800	800	600	580	800	1200
800	760	800	800	800	800	600	560	400	600
800	350	380	500	600	600	800	600	600	1200
240	760	380	800	1200	550	600	580	600	1000
800	760	380	1800	600	1200	600	512	1200	400
400	380	760	600	400	800	600	580	580	450
400	760	400	1600	700	800	800	440	580	1000
800	760	760	400	700	1200	600	580	600	400
400	760	600	1200	800	600	1000	580	600	1200
800	380	760	400	800	1200	600	580	1160	500
400	760	380	800	600	800	600	580	800	800
400	760	800	800	600	1200	760	600	1200	448
800	1140	1200	800	600	700	1200	600	450	800
400	760	1140	400	600	600	580	600	500	500
	380	700	400	400	1200	1200	600	580	450
	380	640	1200	800	600	1112	600	580	1200
	760	1140	400	800	600	1200	600	600	1200
	1140	380	400	400	600	380	600	400	1200
	380	380	400	400	600	600	580	400	160
	1100	760	600	1200	600	1200	580	800	1000
	760	800	1000	1600	600	800	580	600	600
	380	380	600	220	300	600	580	600	300
	760	380	640	600	1200	600	580	600	912
	380	760	800	880	600	400	390	600	600
	380	800	600	600	800	600	300	600	1200
	280	360	400	600	400	1000	580	600	600
	380	800	400	800	1200	600	600	400	1200
	600	1520	400	360	600	600	500	580	480
	380	380	400	800	720	600	600	1000	600
	1140	800	600	800	800	700	600	1160	1200
	760	760	400	400	600	600	600	1200	800
	340	380	400	400	800	800	600	1200	800
	1140	800	800	600	800	600	580	1200	600
	380	1140	400	600	400	600	580	1200	600
	760	760	800	600	400	580	580	1160	400
	528	360		400	600	600	580	1200	600
	380			800	600	550	580	1160	400
	640			800	600	400	580	580	800
	440			600	1200	600	600	300	800
	380			800	600	1200	580	600	400
	360			800	800	200	600	1200	400
	360			600	800	1000	600	1200	400
	380			800	1200	600	600	1200	600
	380			600	1000	600	600	580	1200
				800	500	1200	600	580	600
				600	800	300	600	600	400
				1200	600	600	600	580	600
				800	600	800	600	1200	800
				800	600	1000	580	1160	360
				600	400	400	580	580	600
				600	600	1200	580	580	400
				1200		580	600	400	1200
				700		580	600	580	1000
				400		646	600	400	600
				400		600	600	500	600
				200		580	600	400	400
				600		600	600	500	600
				800		200	600	580	1200
				400		900	380	600	600
				400		500	580	600	1200
				600		500	580	1200	424
				800		580	580	1200	420
				800		1000	580	1200	800
				600		1200	580	580	
				800		800	580	580	
				1600		1000	580	580	
				400		600		600	
				800		600		600	
				400		800		600	
				800		380		580	
				600		380		600	
				660				580	
				1600				580	
				400				600	
				400				580	
				600				1160	
								500	
								600	
								600	
								1200	
								600	
								600	
								600	
								600	
								800	
								600	
