2013-14	2014-15	2015-16	2016-17	2017-18	2018-19	2019-20	2020-21	2021-22	2022-23
800	1140	150	800	900	1200	580	600	600	672
800	380	1200	200	1000	800	380	1200	1200	672
380	380	380	400	600	600	500	580	400	1120
800	760	380	800	800	720	1160	1200	400	1320
200	380	1560	800	400	600	440	760	1200	1320
400	760	780	400	1200	400	600	1000	600	1200
400	800	1260	800	900	1200	1180	800	600	400
400	380	760	1200	600	600	600	600	1200	500
580	1140	380	800	900	600	599	1200	1200	1320
380	1140	760	800	1200	1200	1000	1200	1200	660
400	760	400	1200	360	600	1200	760	600	660
800	760	400	800	800	1200	1180	380	600	616
380	380	1600	800	1200	800	600	600	1160	600
260	760	400	800	800	790	800	600	1200	600
160	380	800	600	600	600	400	600	1200	1200
380	760	800	600	800	1200	720	600	1200	1320
800	380	1320	1200	1200	800	900	600	600	1320
800	760	400	800	1200	600	380	1200	600	800
400	640	800	600	800	400	1200	600	600	660
400	680	1200	800	800	1200	1200	600	600	1320
400	300	800	800	1200	1200	580	580	1200	660
800	372	800	1200	600	600	760	580	1200	600
760	760	800	1200	800	600	1000	720	1200	900
380	760	400	604	1200	600	1200	800	800	1200
760	760	800	800	400	600	1160	580	1200	600
800	380	400	400	800	600	1000	580	800	1320
400	760	800	1000	400	800	580	580	580	880
800	760	200	604	800	1200	580	1200	580	660
370	380	800	400	600	600	530	600	600	1200
800	1520	1140	600	600	1200	1200	600	500	1000
400	380	800	800	1000	800	580	1200	900	400
400	760	800	600	400	500	580	500	1200	1200
400	760	440	800	600	600	600	580	580	660
560	380	400	800	800	600	600	580	400	440
360	720	800	800	600	800	580	550	400	660
480	380	360	600	1200	600	580	580	800	990
400	1520	400	400	400	600	300	600	1200	1200
760	380	1200	738	600	600	580	1200	1200	600
208	380	800	800	600	600	1200	1200	600	600
800	380	760	800	800	600	580	1200	1160	880
800	1520	1200	600	360	560	600	600	580	880
400	300	780	1200	400	650	1200	600	400	400
400	760	400	400	1200	500	500	600	800	400
400	760	780	360	600	1100	800	600	1000	400
780	380	400	400	400	560	780	1200	1200	600
400	760	400	600	600	1200	600	580	400	300
400	760	400	400	720	600	960	580	600	1320
360	760	400	880	600	1200	1200	580	400	1320
400	380	400	1200	800	800	500	760	1200	1200
800	1140	780	800	400	500	600	1160	580	700
740	1140	400	400	600	720	760	1200	400	1200
800	380	800	800	220	1200	580	1160	800	400
800	760	400	400	400	600	800	600	600	400
360	380	400	600	1200	560	600	760	1200	400
800	380	400	400	800	800	1160	580	1200	480
400	680	440	560	1200	800	380	600	1200	600
720	760	400	600	600	600	760	500	550	600
800	380	400	800	1200	1200	800	1200	580	660
800	380		400	1400	1200	600	1200	580	660
360	300		400	360	1200	800	1200	400	550
400	760		800	300	1200	400	1200	600	440
352	760		800	1200	600	380	760	1200	600
280	292		800	400	1200	560	580	600	200
400	528		600	1200	1200	560	1200	600	750
800	760		800	360	600	600	1200	1200	400
380	760		400	720	1000	600	600	580	1320
400	380		1500	800	1200	580	600	800	660
392	800		600	800	600	600	400	600	660
380	380		800	600	600	600	400	300	600
	1140		400	800	600	600	600	672	600
	1140		1500	400	1200	380	500	1200	400
	760		600	600	600	580	500	600	500
	380		600	600	600	1000	1200	1200	500
	160		400	500	600	1160	1160	1200	600
	760		880	600	600	560	580	1200	400
	380		1600	400	600	600	1040	440	400
	360		800	400	800	800	600	400	400
	760		800	800	600	1200	1200	600	800
	760		400	400	200	400	800	1000	440
	1200		800	720	800	560	580	400	1320
	760		600	600	600	560	600	400	660
	760		400	1000	1100	560	580	400	495
	760		400	800	600	1200	600	580	600
	1200		1200	600	1200	550	600	600	600
	400		600	600	1350	800	600	1200	600
	640		800	600	580	600	600	1200	600
	1140		880	1200	720	600	1200	1200	600
	760		1800	1000	1200	1200	600	600	
	1080		800	520	600	400	600	800	
			1500	1200	720	1160	1200	600	
			1600	800	600	300	600	600	
				360	600	800	940	400	
				600	600	580	1160	1200	
				525	800	1200	600	600	
				600	360	600	600	600	
				800	520	380	400	600	
				600	580	580	500	600	
				600	1200	1160	580	1200	
				800	600	1160	580	600	
				600	1200	560	600	600	
				800	1200	400	1200	600	
				800	800	600	1200	600	
				400	600	800	600	1200	
				1200	1200	580	580	580	
				600	800	400	760	800	
				1000	800	600	1200	800	
				1200	600	580	600	600	
				540	500	580	600	600	
				800	720	1160		450	
				660	1000	600		400	
				560	800	380		600	
				360	400	600		600	
					600	600		600	
					300	1160		600	
					580			580	
					600			600	
					580			600	
								600	
								600	
								400	
								600	
								1200	
								400	
								800	
								960	
								600	
								600	
								400	
								1200	
								450	
